[i] Train : 3002
[i] Valid : 333
[i] Test : 210
[i] restored imagenet parameters (VGG16)
[i] iter : 12000, loss : 0.8992, class_loss = 0.3896, l2_reg_loss : 0.5096, time : 161sec
[i] valid meanIU : 4.41%, best valid meanIU : 4.45%
[i] iter : 12100, loss : 0.8966, class_loss = 0.3816, l2_reg_loss : 0.5150, time : 177sec
[i] iter : 12200, loss : 0.8999, class_loss = 0.3803, l2_reg_loss : 0.5195, time : 161sec
[i] iter : 12300, loss : 0.9012, class_loss = 0.3763, l2_reg_loss : 0.5250, time : 160sec
[i] iter : 12400, loss : 0.9150, class_loss = 0.3836, l2_reg_loss : 0.5313, time : 161sec
[i] iter : 12500, loss : 0.9305, class_loss = 0.3898, l2_reg_loss : 0.5407, time : 161sec
[i] iter : 12600, loss : 0.9096, class_loss = 0.3633, l2_reg_loss : 0.5464, time : 160sec
[i] iter : 12700, loss : 0.9574, class_loss = 0.4045, l2_reg_loss : 0.5529, time : 160sec
[i] iter : 12800, loss : 0.9490, class_loss = 0.3893, l2_reg_loss : 0.5597, time : 161sec
[i] iter : 12900, loss : 0.9399, class_loss = 0.3742, l2_reg_loss : 0.5657, time : 160sec
[i] iter : 13000, loss : 0.9368, class_loss = 0.3665, l2_reg_loss : 0.5703, time : 159sec
[i] valid meanIU : 4.49%, best valid meanIU : 4.49%
[i] iter : 13100, loss : 0.9655, class_loss = 0.3900, l2_reg_loss : 0.5754, time : 180sec
[i] iter : 13200, loss : 0.9730, class_loss = 0.3868, l2_reg_loss : 0.5862, time : 161sec
[i] iter : 13300, loss : 0.9524, class_loss = 0.3597, l2_reg_loss : 0.5927, time : 160sec
[i] iter : 13400, loss : 0.9618, class_loss = 0.3636, l2_reg_loss : 0.5982, time : 161sec
[i] iter : 13500, loss : 0.9733, class_loss = 0.3689, l2_reg_loss : 0.6043, time : 161sec
[i] iter : 13600, loss : 0.9672, class_loss = 0.3585, l2_reg_loss : 0.6087, time : 160sec
[i] iter : 13700, loss : 0.9715, class_loss = 0.3567, l2_reg_loss : 0.6148, time : 160sec
[i] iter : 13800, loss : 0.9750, class_loss = 0.3546, l2_reg_loss : 0.6204, time : 159sec
[i] iter : 13900, loss : 0.9860, class_loss = 0.3574, l2_reg_loss : 0.6285, time : 162sec
[i] iter : 14000, loss : 0.9707, class_loss = 0.3357, l2_reg_loss : 0.6350, time : 160sec
[i] valid meanIU : 4.54%, best valid meanIU : 4.54%
[i] iter : 14100, loss : 0.9817, class_loss = 0.3403, l2_reg_loss : 0.6414, time : 179sec
[i] iter : 14200, loss : 1.0153, class_loss = 0.3668, l2_reg_loss : 0.6485, time : 161sec
[i] iter : 14300, loss : 1.0227, class_loss = 0.3644, l2_reg_loss : 0.6583, time : 160sec
[i] iter : 14400, loss : 1.0181, class_loss = 0.3531, l2_reg_loss : 0.6649, time : 159sec
[i] iter : 14500, loss : 1.0244, class_loss = 0.3538, l2_reg_loss : 0.6706, time : 160sec
[i] iter : 14600, loss : 1.0288, class_loss = 0.3528, l2_reg_loss : 0.6760, time : 159sec
[i] iter : 14700, loss : 1.0344, class_loss = 0.3520, l2_reg_loss : 0.6824, time : 162sec
[i] iter : 14800, loss : 1.0262, class_loss = 0.3378, l2_reg_loss : 0.6884, time : 161sec
[i] iter : 14900, loss : 1.0371, class_loss = 0.3417, l2_reg_loss : 0.6955, time : 160sec
[i] iter : 15000, loss : 1.0555, class_loss = 0.3525, l2_reg_loss : 0.7030, time : 161sec
[i] valid meanIU : 4.55%, best valid meanIU : 4.55%
[i] iter : 15100, loss : 1.0447, class_loss = 0.3353, l2_reg_loss : 0.7094, time : 181sec
[i] iter : 15200, loss : 1.0629, class_loss = 0.3469, l2_reg_loss : 0.7160, time : 161sec
[i] iter : 15300, loss : 1.0667, class_loss = 0.3425, l2_reg_loss : 0.7243, time : 161sec
[i] iter : 15400, loss : 1.0605, class_loss = 0.3294, l2_reg_loss : 0.7310, time : 162sec
[i] iter : 15500, loss : 1.0626, class_loss = 0.3251, l2_reg_loss : 0.7374, time : 160sec
[i] iter : 15600, loss : 1.0770, class_loss = 0.3335, l2_reg_loss : 0.7435, time : 160sec
[i] iter : 15700, loss : 1.0860, class_loss = 0.3337, l2_reg_loss : 0.7523, time : 161sec
[i] iter : 15800, loss : 1.0951, class_loss = 0.3344, l2_reg_loss : 0.7607, time : 160sec
[i] iter : 15900, loss : 1.0939, class_loss = 0.3272, l2_reg_loss : 0.7668, time : 160sec
[i] iter : 16000, loss : 1.1025, class_loss = 0.3280, l2_reg_loss : 0.7745, time : 161sec
[i] valid meanIU : 4.62%, best valid meanIU : 4.62%
[i] iter : 16100, loss : 1.1055, class_loss = 0.3231, l2_reg_loss : 0.7824, time : 180sec
[i] iter : 16200, loss : 1.1095, class_loss = 0.3190, l2_reg_loss : 0.7905, time : 160sec
[i] iter : 16300, loss : 1.1189, class_loss = 0.3219, l2_reg_loss : 0.7970, time : 160sec
[i] iter : 16400, loss : 1.1354, class_loss = 0.3302, l2_reg_loss : 0.8051, time : 162sec
[i] iter : 16500, loss : 1.1345, class_loss = 0.3221, l2_reg_loss : 0.8124, time : 160sec
[i] iter : 16600, loss : 1.1475, class_loss = 0.3286, l2_reg_loss : 0.8188, time : 161sec
[i] iter : 16700, loss : 1.1436, class_loss = 0.3185, l2_reg_loss : 0.8251, time : 160sec
[i] iter : 16800, loss : 1.1538, class_loss = 0.3228, l2_reg_loss : 0.8311, time : 161sec
[i] iter : 16900, loss : 1.1579, class_loss = 0.3175, l2_reg_loss : 0.8404, time : 161sec
[i] iter : 17000, loss : 1.1965, class_loss = 0.3452, l2_reg_loss : 0.8513, time : 162sec
[i] valid meanIU : 4.35%, best valid meanIU : 4.62%
[i] iter : 17100, loss : 1.1961, class_loss = 0.3348, l2_reg_loss : 0.8613, time : 177sec
[i] iter : 17200, loss : 1.1738, class_loss = 0.3053, l2_reg_loss : 0.8685, time : 160sec
[i] iter : 17300, loss : 1.1941, class_loss = 0.3207, l2_reg_loss : 0.8734, time : 160sec
[i] iter : 17400, loss : 1.1876, class_loss = 0.3077, l2_reg_loss : 0.8799, time : 161sec
[i] iter : 17500, loss : 1.1857, class_loss = 0.2999, l2_reg_loss : 0.8857, time : 161sec
[i] iter : 17600, loss : 1.1938, class_loss = 0.3014, l2_reg_loss : 0.8923, time : 161sec
[i] iter : 17700, loss : 1.1992, class_loss = 0.2989, l2_reg_loss : 0.9003, time : 160sec
[i] iter : 17800, loss : 1.2137, class_loss = 0.3053, l2_reg_loss : 0.9084, time : 161sec
[i] iter : 17900, loss : 1.2111, class_loss = 0.2946, l2_reg_loss : 0.9166, time : 162sec
[i] iter : 18000, loss : 1.2604, class_loss = 0.3356, l2_reg_loss : 0.9248, time : 161sec
[i] valid meanIU : 4.25%, best valid meanIU : 4.62%
[i] iter : 18100, loss : 1.2588, class_loss = 0.3214, l2_reg_loss : 0.9374, time : 179sec
[i] iter : 18200, loss : 1.2456, class_loss = 0.3044, l2_reg_loss : 0.9412, time : 159sec
[i] iter : 18300, loss : 1.2418, class_loss = 0.2937, l2_reg_loss : 0.9482, time : 160sec
[i] iter : 18400, loss : 1.2547, class_loss = 0.3000, l2_reg_loss : 0.9548, time : 161sec
[i] iter : 18500, loss : 1.2657, class_loss = 0.3028, l2_reg_loss : 0.9629, time : 160sec
[i] iter : 18600, loss : 1.2837, class_loss = 0.3089, l2_reg_loss : 0.9748, time : 161sec
[i] iter : 18700, loss : 1.2721, class_loss = 0.2922, l2_reg_loss : 0.9799, time : 161sec
[i] iter : 18800, loss : 1.2742, class_loss = 0.2879, l2_reg_loss : 0.9863, time : 160sec
[i] iter : 18900, loss : 1.3008, class_loss = 0.3065, l2_reg_loss : 0.9944, time : 161sec
[i] iter : 19000, loss : 1.3030, class_loss = 0.3008, l2_reg_loss : 1.0022, time : 161sec
[i] valid meanIU : 4.67%, best valid meanIU : 4.67%
[i] iter : 19100, loss : 1.2924, class_loss = 0.2823, l2_reg_loss : 1.0101, time : 179sec
[i] iter : 19200, loss : 1.3111, class_loss = 0.2942, l2_reg_loss : 1.0169, time : 161sec
[i] iter : 19300, loss : 1.3270, class_loss = 0.3013, l2_reg_loss : 1.0257, time : 161sec
[i] iter : 19400, loss : 1.3287, class_loss = 0.2943, l2_reg_loss : 1.0343, time : 163sec
[i] iter : 19500, loss : 1.3494, class_loss = 0.3067, l2_reg_loss : 1.0427, time : 162sec
[i] iter : 19600, loss : 1.3577, class_loss = 0.3067, l2_reg_loss : 1.0510, time : 161sec
[i] iter : 19700, loss : 1.3339, class_loss = 0.2761, l2_reg_loss : 1.0579, time : 160sec
[i] iter : 19800, loss : 1.3442, class_loss = 0.2799, l2_reg_loss : 1.0643, time : 161sec
[i] iter : 19900, loss : 1.3456, class_loss = 0.2742, l2_reg_loss : 1.0714, time : 159sec
